name,mpg,cylinders,displacement,horsepower,model_year,origin
chevrolet chevelle malibu,18,8,307,130,70,usa
buick skylark 320,15,8,350,165,70,usa
plymouth satellite,18,8,318,150,70,usa
amc rebel sst,16,8,304,150,70,usa
ford torino,17,8,302,140,70,usa
ford galaxie 500,15,8,429,198,70,usa
chevrolet impala,14,8,454,220,70,usa
plymouth fury iii,14,8,440,215,70,usa
pontiac catalina,14,8,455,225,70,usa
amc ambassador dpl,15,8,390,190,70,usa
dodge challenger se,15,8,383,170,70,usa
plymouth 'cuda 340,14,8,340,160,70,usa
chevrolet monte carlo,15,8,400,150,70,usa
buick estate wagon (sw),14,8,455,225,70,usa
toyota corona mark ii,24,4,113,95,70,japan
plymouth duster,22,6,198,95,70,usa
amc hornet,18,6,199,97,70,usa
ford maverick,21,6,200,85,70,usa
datsun pl510,27,4,97,88,70,japan
volkswagen 1131 deluxe sedan,26,4,97,46,70,europe
peugeot 504,25,4,110,87,70,europe
audi 100 ls,24,4,107,90,70,europe
saab 99e,25,4,104,95,70,europe
bmw 2002,26,4,121,113,70,europe
amc gremlin,21,6,199,90,70,usa
ford f250,10,8,360,215,70,usa
chevy c20,10,8,307,200,70,usa
dodge d200,11,8,318,210,70,usa
hi 1200d,9,8,304,193,70,usa
datsun pl510,27,4,97,88,71,japan
chevrolet vega 2300,28,4,140,90,71,usa
toyota corona,25,4,113,95,71,japan
ford pinto,25,4,98,,71,usa
amc gremlin,19,6,232,100,71,usa
plymouth satellite custom,16,6,225,105,71,usa
chevrolet chevelle malibu,17,6,250,100,71,usa
ford torino 500,19,6,250,88,71,usa
amc matador,18,6,232,100,71,usa
chevrolet impala,14,8,350,165,71,usa
pontiac catalina brougham,14,8,400,175,71,usa
ford galaxie 500,14,8,351,153,71,usa
plymouth fury iii,14,8,318,150,71,usa
dodge monaco (sw),12,8,383,180,71,usa
ford country squire (sw),13,8,400,170,71,usa
pontiac safari (sw),13,8,400,175,71,usa
amc hornet sportabout (sw),18,6,258,110,71,usa
chevrolet vega (sw),22,4,140,72,71,usa
pontiac firebird,19,6,250,100,71,usa
ford mustang,18,6,250,88,71,usa
mercury capri 2000,23,4,122,86,71,usa
opel 1900,28,4,116,90,71,europe
peugeot 304,30,4,79,70,71,europe
fiat 124b,30,4,88,76,71,europe
toyota corolla 1200,31,4,71,65,71,japan
datsun 1200,35,4,72,69,71,japan
volkswagen model 111,27,4,97,60,71,europe
plymouth cricket,26,4,91,70,71,usa
toyota corona hardtop,24,4,113,95,72,japan
dodge colt hardtop,25,4,97.5,80,72,usa
volkswagen type 3,23,4,97,54,72,europe
chevrolet vega,20,4,140,90,72,usa
ford pinto runabout,21,4,122,86,72,usa
chevrolet impala,13,8,350,165,72,usa
pontiac catalina,14,8,400,175,72,usa
plymouth fury iii,15,8,318,150,72,usa
ford galaxie 500,14,8,351,153,72,usa
amc ambassador sst,17,8,304,150,72,usa
mercury marquis,11,8,429,208,72,usa
buick lesabre custom,13,8,350,155,72,usa
oldsmobile delta 88 royale,12,8,350,160,72,usa
chrysler newport royal,13,8,400,190,72,usa
mazda rx2 coupe,19,3,70,97,72,japan
amc matador (sw),15,8,304,150,72,usa
chevrolet chevelle concours (sw),13,8,307,130,72,usa
ford gran torino (sw),13,8,302,140,72,usa
plymouth satellite custom (sw),14,8,318,150,72,usa
volvo 145e (sw),18,4,121,112,72,europe
volkswagen 411 (sw),22,4,121,76,72,europe
peugeot 504 (sw),21,4,120,87,72,europe
renault 12 (sw),26,4,96,69,72,europe
ford pinto (sw),22,4,122,86,72,usa
datsun 510 (sw),28,4,97,92,72,japan
toyouta corona mark ii (sw),23,4,120,97,72,japan
dodge colt (sw),28,4,98,80,72,usa
toyota corolla 1600 (sw),27,4,97,88,72,japan
buick century 350,13,8,350,175,73,usa
amc matador,14,8,304,150,73,usa
chevrolet malibu,13,8,350,145,73,usa
ford gran torino,14,8,302,137,73,usa
dodge coronet custom,15,8,318,150,73,usa
mercury marquis brougham,12,8,429,198,73,usa
chevrolet caprice classic,13,8,400,150,73,usa
ford ltd,13,8,351,158,73,usa
plymouth fury gran sedan,14,8,318,150,73,usa
chrysler new yorker brougham,13,8,440,215,73,usa
buick electra 225 custom,12,8,455,225,73,usa
amc ambassador brougham,13,8,360,175,73,usa
plymouth valiant,18,6,225,105,73,usa
chevrolet nova custom,16,6,250,100,73,usa
amc hornet,18,6,232,100,73,usa
ford maverick,18,6,250,88,73,usa
plymouth duster,23,6,198,95,73,usa
