Date,AvgTemp,Consumption
1/1/2015,27.30,25.461
1/2/2015,27.02,28.972
1/3/2015,24.82,30.814
1/4/2015,23.98,29.799
1/5/2015,23.82,28.9
1/6/2015,23.78,28.218
1/7/2015,24.00,29.732
1/8/2015,24.90,28.397
1/9/2015,28.20,24.886
1/10/2015,26.76,37.937
1/11/2015,27.62,36.254
1/12/2015,25.96,25.743
1/13/2015,25.52,26.99
1/14/2015,25.96,31.825
1/15/2015,25.86,25.724
1/16/2015,26.50,29.938
1/17/2015,28.86,37.69
1/18/2015,28.26,30.524
1/19/2015,28.22,29.265
1/20/2015,27.68,35.127
1/21/2015,25.32,29.13
1/22/2015,21.74,25.795
1/23/2015,21.04,21.784
1/24/2015,23.12,28.348
1/25/2015,24.40,31.088
1/26/2015,22.40,21.52
1/27/2015,23.60,29.972
1/28/2015,25.68,22.603
1/29/2015,25.00,22.696
1/30/2015,22.80,26.845
1/31/2015,21.64,27.03
2/1/2015,24.16,32.057
2/2/2015,22.48,24.097
2/3/2015,23.16,31.655
2/4/2015,22.12,24.738
2/5/2015,20.28,19.95
2/6/2015,21.06,22.821
2/7/2015,21.86,28.893
2/8/2015,22.76,29.926
2/9/2015,24.00,24.062
2/10/2015,23.92,21.137
2/11/2015,25.38,26.805
2/12/2015,27.66,26.389
2/13/2015,25.54,24.219
2/14/2015,24.32,30.231
2/15/2015,22.90,24.968
2/16/2015,21.60,25.343
2/17/2015,22.76,17.399
2/18/2015,22.22,21.392
2/19/2015,23.92,22.922
2/20/2015,24.72,24.567
2/21/2015,25.20,30.943
2/22/2015,24.44,30.825
2/23/2015,25.40,25.692
2/24/2015,24.30,26.959
2/25/2015,22.24,25.366
2/26/2015,24.10,22.784
2/27/2015,24.64,26.241
2/28/2015,22.40,26.467
3/1/2015,21.26,27.475
3/2/2015,22.16,28.749
3/3/2015,23.16,24.146
3/4/2015,23.68,22.988
3/5/2015,24.42,30.3
3/6/2015,22.60,22.654
3/7/2015,21.92,29.09
3/8/2015,22.20,24.619
3/9/2015,21.36,20.016
3/10/2015,23.12,23.042
3/11/2015,22.88,22.933
3/12/2015,22.26,22.409
3/13/2015,22.34,21.281
3/14/2015,22.88,28.844
3/15/2015,22.08,32.872
3/16/2015,21.92,20.903
3/17/2015,21.92,26.275
3/18/2015,21.24,20.167
3/19/2015,21.78,23.628
3/20/2015,21.64,24.213
3/21/2015,20.88,28.631
3/22/2015,19.70,25.855
3/23/2015,19.88,21.406
3/24/2015,20.98,21.617
3/25/2015,21.56,22.401
3/26/2015,22.98,27.989
3/27/2015,23.32,24.974
3/28/2015,23.28,29.76
3/29/2015,22.14,26.116
3/30/2015,22.50,25.85
3/31/2015,23.14,24.925
4/1/2015,22.52,21.979
4/2/2015,20.92,22.116
4/3/2015,21.02,24.867
4/4/2015,22.36,33.45
4/5/2015,22.82,32.713
4/6/2015,21.36,22.356
4/7/2015,17.38,21.004
4/8/2015,18.68,23.362
4/9/2015,19.40,20.298
4/10/2015,20.46,24.862
4/11/2015,21.74,30.505
4/12/2015,19.92,25.07
4/13/2015,20.88,22.62
4/14/2015,21.70,22.001
4/15/2015,21.94,23.469
4/16/2015,21.26,21.735
4/17/2015,21.42,21.593
4/18/2015,23.36,33.822
4/19/2015,22.50,28.028
4/20/2015,24.00,24.304
4/21/2015,22.52,31.108
4/22/2015,20.06,19.113
