Species,Weight,Height,Width
Bream,242,11.52,4.02
Bream,290,12.48,4.3056
Bream,340,12.3778,4.6961
Bream,363,12.73,4.4555
Bream,430,12.444,5.134
Bream,450,13.6024,4.9274
Bream,500,14.1795,5.2785
Bream,390,12.67,4.69
Bream,450,14.0049,4.8438
Bream,500,14.2266,4.9594
Bream,475,14.2628,5.1042
Bream,500,14.3714,4.8146
Bream,500,13.7592,4.368
Bream,340,13.9129,5.0728
Bream,600,14.9544,5.1708
Bream,600,15.438,5.58
Bream,700,14.8604,5.2854
Bream,700,14.938,5.1975
Bream,610,15.633,5.1338
Bream,650,14.4738,5.7276
Bream,575,15.1285,5.5695
Bream,685,15.9936,5.3704
Bream,620,15.5227,5.2801
Bream,680,15.4686,6.1306
Bream,700,16.2405,5.589
Bream,725,16.36,6.0532
Bream,720,16.3618,6.09
Bream,714,16.517,5.8515
Bream,850,16.8896,6.1984
Bream,1000,18.957,6.603
Bream,920,18.0369,6.3063
Bream,955,18.084,6.292
Bream,925,18.7542,6.7497
Bream,975,18.6354,6.7473
Bream,950,17.6235,6.3705
Roach,40,4.1472,2.268
Roach,69,5.2983,2.8217
Roach,78,5.5756,2.9044
Roach,87,5.6166,3.1746
Roach,120,6.216,3.5742
Roach,0,6.4752,3.3516
Roach,110,6.1677,3.3957
Roach,120,6.1146,3.2943
Roach,150,5.8045,3.7544
Roach,145,6.6339,3.5478
Roach,160,7.0334,3.8203
Roach,140,6.55,3.325
Roach,160,6.4,3.8
Roach,169,7.5344,3.8352
Roach,161,6.9153,3.6312
Roach,200,7.3968,4.1272
Roach,180,7.0866,3.906
Roach,290,8.8768,4.4968
Roach,272,8.568,4.7736
Roach,390,9.485,5.355
Whitefish,270,8.3804,4.2476
Whitefish,270,8.1454,4.2485
Whitefish,306,8.778,4.6816
Whitefish,540,10.744,6.562
Whitefish,800,11.7612,6.5736
Whitefish,1000,12.354,6.525
Parkki,55,6.8475,2.3265
Parkki,60,6.5772,2.3142
Parkki,90,7.4052,2.673
Parkki,120,8.3922,2.9181
Parkki,150,8.8928,3.2928
Parkki,140,8.5376,3.2944
Parkki,170,9.396,3.4104
Parkki,145,9.7364,3.1571
Parkki,200,10.3458,3.6636
Parkki,273,11.088,4.144
Parkki,300,11.368,4.234
Perch,5.9,2.112,1.408
Perch,32,3.528,1.9992
Perch,40,3.824,2.432
Perch,51.5,4.5924,2.6316
Perch,70,4.588,2.9415
Perch,100,5.2224,3.3216
Perch,78,5.1992,3.1234
Perch,80,5.6358,3.0502
Perch,85,5.1376,3.0368
Perch,85,5.082,2.772
Perch,110,5.6925,3.555
Perch,115,5.9175,3.3075
Perch,125,5.6925,3.6675
Perch,130,6.384,3.534
Perch,120,6.11,3.4075
Perch,120,5.64,3.525
Perch,130,6.11,3.525
Perch,135,5.875,3.525
Perch,110,5.5225,3.995
Perch,130,5.856,3.624
Perch,150,6.792,3.624
Perch,145,5.9532,3.63
Perch,150,5.2185,3.626
Perch,170,6.275,3.725
Perch,225,7.293,3.723
Perch,145,6.375,3.825
Perch,188,6.7334,4.1658
Perch,180,6.4395,3.6835
Perch,197,6.561,4.239
Perch,218,7.168,4.144
Perch,300,8.323,5.1373
Perch,260,7.1672,4.335
Perch,265,7.0516,4.335
Perch,250,7.2828,4.5662
Perch,250,7.8204,4.2042
Perch,300,7.5852,4.6354
Perch,320,7.6156,4.7716
Perch,514,10.03,6.018
Perch,556,10.2565,6.3875
Perch,840,11.4884,7.7957
Perch,685,10.881,6.864
Perch,700,10.6091,6.7408
Perch,700,10.835,6.2646
Perch,690,10.5717,6.3666
Perch,900,11.1366,7.4934
Perch,650,11.1366,6.003
Perch,820,12.4313,7.3514
Perch,850,11.9286,7.1064
Perch,900,11.73,7.225
Perch,1015,12.3808,7.4624
Perch,820,11.135,6.63
Perch,1100,12.8002,6.8684
Perch,1000,11.9328,7.2772
Perch,1100,12.5125,7.4165
Perch,1000,12.604,8.142
Perch,1000,12.4888,7.5958
Pike,200,5.568,3.3756
Pike,300,5.7078,4.158
Pike,300,5.9364,4.3844
Pike,300,6.2884,4.0198
Pike,430,7.29,4.5765
Pike,345,6.396,3.977
Pike,456,7.28,4.3225
Pike,510,6.825,4.459
Pike,540,7.786,5.1296
Pike,500,6.96,4.896
Pike,567,7.792,4.87
Pike,770,7.68,5.376
Pike,950,8.9262,6.1712
Pike,1250,10.6863,6.9849
Pike,1600,9.6,6.144
Pike,1550,9.6,6.144
Pike,1650,10.812,7.48
Smelt,6.7,1.7388,1.0476
Smelt,7.5,1.972,1.16
Smelt,7,1.7284,1.1484
Smelt,9.7,2.196,1.38
Smelt,9.8,2.0832,1.2772
Smelt,8.7,1.9782,1.2852
Smelt,10,2.2139,1.2838
Smelt,9.9,2.2139,1.1659
Smelt,9.8,2.2044,1.1484
Smelt,12.2,2.0904,1.3936
Smelt,13.4,2.43,1.269
Smelt,12.2,2.277,1.2558
Smelt,19.7,2.8728,2.0672
Smelt,19.9,2.9322,1.8792
