Arancel,Año,MES,ValorCIF,PesoNeto
3214.10.11.00.00,2020,1,581,34
6202.19.00.00.00,2020,1,611,11
8405.10.90.00.00,2020,1,788,12
2106.90.99.00.90,2020,1,1048,178
3208.90.11.00.00,2020,1,914,7
3304.20.10.00.00,2020,1,7314,73
8544.20.00.00.00,2020,1,4775,41
3304.99.11.00.00,2020,1,16815,134
4016.99.90.00.00,2020,1,9193,98
9015.80.90.00.00,2020,1,12176,39
9405.10.90.00.90,2020,1,37389,1147
0603.11.00.00.00,2020,1,152,15
4016.95.20.00.00,2020,1,89,4
6115.95.00.00.00,2020,1,91,1
6208.91.00.00.00,2020,1,79,4
7307.92.00.00.00,2020,1,436,7
7610.10.90.00.00,2020,1,84,24
8306.10.00.00.00,2020,1,70,3
1905.90.90.00.00,2020,1,108,18
3702.39.90.00.00,2020,1,168,33
4421.99.99.00.90,2020,1,145,4
4804.31.90.00.00,2020,1,305,167
4820.40.00.00.00,2020,1,152,8
4904.00.00.00.00,2020,1,115,4
5901.90.00.00.00,2020,1,194,9
6108.92.00.00.00,2020,1,107,1
6109.90.00.00.20,2020,1,174,1
6203.49.13.00.00,2020,1,134,4
6204.12.29.00.00,2020,1,129,16
6204.19.10.00.00,2020,1,132,1
6205.30.11.00.00,2020,1,123,1
6205.30.19.00.00,2020,1,184,2
6205.90.29.00.00,2020,1,111,1
6307.90.23.00.00,2020,1,140,10
6402.91.91.00.00,2020,1,167,35
6403.51.40.00.00,2020,1,111,36
6404.11.00.00.60,2020,1,221,61
7013.10.29.00.00,2020,1,60,3
8210.00.90.00.00,2020,1,118,2
9208.10.00.00.00,2020,1,140,2
9503.00.99.00.10,2020,1,210,82
9701.90.10.00.00,2020,1,123,1
0406.30.00.00.00,2020,1,280,17
0406.90.19.00.00,2020,1,212,24
4202.31.19.00.00,2020,1,302,3
4420.10.00.00.90,2020,1,345,7
4823.90.99.00.90,2020,1,289,12
5906.10.00.00.00,2020,1,263,20
6704.11.00.00.00,2020,1,312,14
7009.92.20.00.00,2020,1,243,29
7013.10.90.00.00,2020,1,332,55
7215.90.20.00.00,2020,1,394,88
8523.29.29.00.00,2020,1,241,1
8527.29.90.00.00,2020,1,366,35
9209.99.99.00.00,2020,1,262,3
9401.30.00.00.00,2020,1,326,42
9504.50.00.00.10,2020,1,245,4
4819.30.90.00.00,2020,1,570,45
6108.91.00.00.00,2020,1,612,58
6203.43.19.00.00,2020,1,375,3
6211.43.90.00.00,2020,1,397,4
6214.40.00.00.00,2020,1,411,10
6505.00.32.00.00,2020,1,1040,54
7010.90.21.00.90,2020,1,199,12
7016.90.00.00.00,2020,1,943,214
8519.81.12.00.00,2020,1,483,20
8708.21.00.00.00,2020,1,1764,27
9401.20.10.00.00,2020,1,519,90
9603.90.99.00.00,2020,1,442,46
4009.11.90.00.00,2020,1,870,318
4814.90.10.00.00,2020,1,959,153
4819.30.12.00.90,2020,1,427,82
6203.32.90.00.00,2020,1,459,4
6204.23.11.00.00,2020,1,1017,33
8527.19.90.00.00,2020,1,522,48
4009.41.00.00.00,2020,1,528,18
6204.23.23.00.00,2020,1,1537,45
6406.90.92.00.00,2020,1,577,21
7606.91.90.00.00,2020,1,619,36
3301.90.39.00.00,2020,1,1011,26
4823.90.91.00.00,2020,1,722,350
7314.14.90.00.00,2020,1,688,30
9014.80.11.00.00,2020,1,1085,50
9504.40.10.00.00,2020,1,1822,418
5810.10.10.00.00,2020,1,745,10
9029.10.10.00.00,2020,1,938,7
3824.99.10.00.00,2020,1,915,65
6204.52.90.00.00,2020,1,1032,47
7325.99.90.00.00,2020,1,992,47
9620.00.90.00.00,2020,1,967,5
4602.19.00.00.00,2020,1,1021,112
7013.10.10.00.00,2020,1,1040,84
3208.10.19.00.90,2020,1,1524,125
4811.41.90.00.90,2020,1,732,55
4823.69.90.00.00,2020,1,1313,76
6704.20.00.00.00,2020,1,1294,131
7321.90.10.00.00,2020,1,1685,142
9405.99.39.00.00,2020,1,1179,11
9503.00.92.00.00,2020,1,2718,943
1704.90.10.00.00,2020,1,1520,161
6203.49.22.00.00,2020,1,1298,11
7217.90.00.00.00,2020,1,1692,780
7323.93.90.00.00,2020,1,1623,73
8413.20.90.00.00,2020,1,1710,36
6306.90.90.00.00,2020,1,1813,190
6404.19.33.00.00,2020,1,1586,28
6505.00.90.00.00,2020,1,2714,238
9027.90.20.00.00,2020,1,1434,8
7117.90.41.00.00,2020,1,1915,45
9503.00.91.00.00,2020,1,2428,321
8509.90.00.00.00,2020,1,1995,16
9608.10.00.00.00,2020,1,2071,17
3304.20.10.00.00,2020,1,4838,36
8309.90.30.00.00,2020,1,3752,97
8409.99.10.00.00,2020,1,2104,44
9506.39.00.00.00,2020,1,2264,75
6504.00.90.00.00,2020,1,4298,83
6112.19.00.00.00,2020,1,2446,45
6211.42.90.00.00,2020,1,2542,46
3923.30.90.00.90,2020,1,5519,654
9404.29.00.00.00,2020,1,3095,707
6402.20.10.00.00,2020,1,3098,82
7615.10.99.00.00,2020,1,3577,195
3506.10.00.00.00,2020,1,6899,735
8526.92.00.00.00,2020,1,5617,144
8538.10.00.00.00,2020,1,4432,221
8523.80.99.00.00,2020,1,4269,37
7326.90.50.00.00,2020,1,17374,624
8472.90.90.00.00,2020,1,4587,41
9031.49.10.00.00,2020,1,4902,28
6302.60.00.00.00,2020,1,5499,165
8518.40.90.00.00,2020,1,5562,114
3926.40.00.00.00,2020,1,6005,308
8303.00.00.00.00,2020,1,5322,193
8529.10.90.00.00,2020,1,7503,112
7321.90.90.00.00,2020,1,6547,247
4911.10.19.00.90,2020,1,7157,401
7020.00.90.00.90,2020,1,7163,65
9506.99.99.00.00,2020,1,10186,1940
7307.29.00.00.00,2020,1,7889,254
9504.50.00.00.90,2020,1,9691,189
8531.80.90.00.00,2020,1,8546,137
9402.90.12.00.00,2020,1,68111,2073
9102.99.00.00.00,2020,1,9912,63
9603.29.00,2011,4,125,6
9029.20.90,2011,4,168,6
9403.60.90,2011,4,993,59
9403.90.00,2011,4,1065,217
9403.10.19,2011,4,1169,239
9026.10.00,2011,4,518,3
9011.10.00,2011,4,1573,15
9022.90.90,2011,4,2109,59
