Mall,Country,YearOpened,GLA,Shops
Iran Mall,Iran,2018,1950000,2500
IOI City Mall,Malaysia,2014,821000,650
South China Mall,China,2005,659612,2350
Isfahan City Center,Iran,2012,650000,350
SM Mall of Asia,Philippines,2006,589891,3500
SM Tianjin,China,2016,565000,1000
Golden Resources Mall,China,2004,557419,750
Central WestGate,Thailand,2015,550278,500
CentralWorld,Thailand,1990,550000,600
ICONSIAM,Thailand,2018,525000,550
Mall of America,United States,1992,520257,520
1 Utama,Malaysia,1995,519328,503
SM City North EDSA,Philippines,1985,497213,1000
Global Harbor,China,2013,480000,450
SM Megamall,Philippines,1991,474000,1000
SM Seaside City Cebu,Philippines,2015,470486,700
Persian Gulf Complex,Iran,2011,450000,355
The Avenues Mall,Kuwait,2007,425000,1100
Sunway Pyramid,Malaysia,1997,400000,1000
New Century Global Center,China,2013,400000,2300
Dream Mall,Taiwan,2007,400000,250
Siam Paragon,Thailand,2005,400000,200
Central Phuket,Thailand,2004,400000,250
Festival Alabang,Philippines,1998,400000,250
Lotte World Mall,South Korea,2014,383470,200
Jamuna Future Park,Bangladesh,2013,380000,200
Albrook Mall,Panama,2002,380000,200
Mal Taman Anggrek,Indonesia,1996,360000,150
Fashion Island (Thailand),Thailand,1995,350000,150
West Edmonton Mall,Canada,1981,350000,800
The Dubai Mall,United Arab Emirates,2008,350000,400
Lucky One Mall,Pakistan,2017,340000,200
Gandaria City,Indonesia,2010,336279,250
Limketkai Center,Philippines,1992,320000,250
Berjaya Times Square,Malaysia,2003,320000,200
SM City Fairview,Philippines,1997,312749,350
The Grand Central Mall,Pakistan,Under-Construction,310000,0
Zhengjia Plaza (Grandview Mall),China,2005,280000,180
Centro Mayor,Colombia,2010,280000,250
American Dream Meadowlands,United States,2019,280000,200
Haikou International Duty Free City,China,2022,280000,200
SM City Cebu,Philippines,1993,273804,680
"The Avenues, Bahrain",Bahrain,2017,273000,680
Medan Centre Point,Indonesia,2013,270000,680
Mal Artha Gading,Indonesia,2004,270000,330
Mall of Arabia,Saudi Arabia,2010,261000,187
King of Prussia,United States,1963,259500,200
Greenwich Mall,Russia,2006,258673,250
Tunjungan Plaza,Indonesia,1986,253187,250
Emporium Mall,Pakistan,2016,250000,200
Centro Sambil,Venezuela,1998,250000,300
Aventura Mall,United States,1983,250000,300
Glorietta,Philippines,1991,250000,300
Greenbelt,Philippines,1991,250000,300
South Coast Plaza,United States,1967,250000,286
Centro Comercial Santafé,Colombia,2006,250000,150
