Año,ComposicionConstante,PerCapitaConstante
2014,1.267798425,2869.486443
2015,1.322684499,3074.832765
2016,1.310769602,3108.362034
2017,1.305724301,3178.166465
2018,1.358863557,3334.807395
2019,1.352719751,3324.924921
2020,1.804264253,3540.542222
2014,2.721568391,3677.630845
2015,2.58754941,3662.897365
2016,2.440506167,3592.985567
2017,2.385374265,3679.978998
2018,2.422274303,3845.996601
2019,2.483481258,4031.652888
2020,2.619772767,3465.938071
2014,10.16729958,11141.83918
2015,12.01859601,13699.02501
2016,14.68298672,17281.89366
2017,17.16372164,20988.83759
2018,17.75698926,22155.6797
2019,17.71242185,22402.36053
2020,16.92933432,17297.26172
2014,5.416840876,2906.482058
2015,5.701162237,3194.420169
2016,5.680873364,3299.799445
2017,5.582949323,3382.891239
2018,5.639948635,3500.933591
2019,5.649029618,3568.705686
2020,6.318094449,3237.109676
2014,0.280568947,1478.818976
2015,0.262244284,1441.640107
2016,0.263885833,1501.531236
2017,0.263510481,1561.334356
2018,0.256098384,1551.942695
2019,0.270350048,1664.416905
2020,0.320054235,1595.878489
2014,1.486191546,4339.529435
2015,1.354975089,4173.848786
2016,1.339873883,4322.841404
2017,1.33065236,4524.833108
2018,1.335250842,4700.466903
2019,1.34097397,4855.999056
2020,1.504893053,4467.27186
2014,1.046075717,3788.974237
2015,0.996118866,3808.210057
2016,0.983965676,3942.239365
2017,0.992581895,4194.272091
2018,0.996326306,4361.41083
2019,1.000122166,4505.884512
2020,1.092856685,4039.417259
2014,70.15634522,16199.87021
2015,67.19485282,16114.95411
2016,65.08596532,16091.73776
2017,63.27253391,16227.75186
2018,62.85494111,16427.95927
2019,62.3912656,16512.60579
2020,59.70598406,12731.70722
2014,2.111824119,2983.896936
2015,2.104254886,3131.763885
2016,2.081851481,3240.376316
2017,2.049585216,3357.070698
2018,2.054285358,3477.779096
2019,2.127655936,3698.161131
2020,2.377813977,3382.014315
2014,5.322689996,3390.944361
2015,6.963132368,4580.492529
2016,6.66649891,4505.473031
2017,6.201180036,4337.628168
2018,5.863845564,4171.933944
2019,6.203601448,4461.509433
2020,6.462570044,3763.765386
