HoursStudied,PreviousScores,PerformanceIndex
7,99,91
4,82,65
8,51,45
5,52,36
7,75,66
3,78,61
7,73,63
8,45,42
5,77,61
4,89,69
8,91,84
8,79,73
3,47,27
6,47,33
5,79,68
2,72,43
8,73,67
6,83,70
2,54,30
5,75,63
1,99,71
6,96,85
9,74,73
1,85,57
3,61,35
7,62,49
4,79,66
9,84,83
3,94,74
5,90,74
3,61,39
7,44,36
5,70,58
9,52,47
7,67,60
2,97,74
4,59,42
9,72,68
2,55,32
9,68,64
5,62,45
2,63,39
4,73,58
7,46,36
8,77,71
3,76,54
1,43,17
4,73,54
2,81,58
8,61,53
4,44,27
2,89,65
6,81,75
6,62,52
4,93,78
6,99,91
2,54,33
2,70,47
4,98,78
8,48,38
7,82,70
9,97,98
8,92,87
5,64,49
2,64,41
5,88,71
8,60,54
9,48,42
9,94,91
1,87,61
9,77,74
7,61,54
9,82,81
8,62,52
1,88,65
8,43,36
8,68,61
3,54,35
1,40,15
8,93,88
3,69,45
3,68,49
1,59,33
5,72,60
7,80,71
9,83,81
7,75,67
9,99,95
8,61,58
2,52,29
1,46,21
7,47,38
7,67,60
8,84,76
5,82,69
3,48,30
8,64,57
6,95,81
3,55,36
1,49,25
3,50,27
5,70,61
3,51,34
1,99,76
5,70,57
7,53,45
7,90,76
9,83,83
3,71,50
7,89,81
1,92,66
4,56,38
4,74,56
5,40,25
7,68,56
7,90,82
4,43,23
7,62,56
3,67,46
6,55,43
2,51,30
9,92,92
5,60,45
6,84,70
4,56,36
7,79,71
9,52,49
7,91,82
1,97,71
1,71,43
9,76,77
9,89,86
4,54,34
9,51,49
3,88,69
7,96,84
6,54,41
8,73,68
9,45,44
5,56,41
1,87,58
3,88,68
8,96,94
6,59,47
8,48,40
9,98,100
4,44,23
1,62,36
1,72,47
4,77,60
7,95,83
2,53,33
3,56,36
1,96,74
5,58,42
1,72,47
8,40,31
1,52,26
1,85,58
2,66,42
2,45,18
6,98,85
7,45,36
5,72,58
1,69,45
1,85,60
3,74,56
2,62,42
5,49,33
6,90,77
7,58,51
4,90,72
7,67,57
8,62,53
1,43,16
6,59,45
8,58,49
5,81,67
4,66,49
2,96,73
6,73,65
6,43,27
1,95,72
9,77,74
6,46,38
3,87,67
4,46,28
4,89,73
3,91,72
3,65,42
3,65,47
4,93,77
7,58,49
4,48,30
9,59,54
1,81,56
8,84,75
7,89,78
2,55,32
8,93,89
1,56,29
9,61,57
9,52,48
2,51,27
7,49,38
3,40,18
7,71,66
9,69,65
4,47,27
1,60,33
2,61,37
1,57,29
5,41,26
5,87,72
7,83,77
9,48,45
9,42,41
3,93,73
3,65,43
3,60,39
4,69,54
8,67,62
6,75,63
8,65,59
1,73,46
8,47,42
4,49,30
1,87,63
8,94,89
4,82,62
6,89,77
8,93,88
4,53,35
3,79,60
9,94,92
3,54,38
9,56,56
2,92,70
2,57,35
2,71,47
6,77,66
3,62,43
9,85,81
4,62,43
1,74,46
4,78,61
1,54,27
5,92,77
4,63,43
8,67,60
8,55,48
7,55,47
3,79,60
1,78,53
1,45,19
3,41,23
6,93,81
7,52,41
6,83,71
6,86,75
6,98,89
3,48,28
6,73,60
8,56,54
2,66,41
5,68,52
1,76,53
1,82,52
5,61,47
3,90,71
4,63,42
3,46,21
1,73,48
1,87,64
5,51,38
6,62,49
3,54,35
