restaurant,item,calories,cal_fat,cholesterol,total_carb,fiber,protein
Mcdonalds,Artisan Grilled Chicken Sandwich,380,60,95,44,3,37
Mcdonalds,Single Bacon Smokehouse Burger,840,410,130,62,2,46
Mcdonalds,Double Bacon Smokehouse Burger,1130,600,220,63,3,70
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,280,155,62,2,55
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,410,120,81,4,46
Mcdonalds,Big Mac,540,250,80,46,3,25
Mcdonalds,Cheeseburger,300,100,40,33,2,15
Mcdonalds,Classic Chicken Sandwich,510,210,65,49,3,25
Mcdonalds,Double Cheeseburger,430,190,85,35,2,25
Mcdonalds,Double Quarter Pounder® with Cheese,770,400,175,42,3,51
Mcdonalds,Filet-O-Fish®,380,170,40,38,2,15
Mcdonalds,Garlic White Cheddar Burger,620,300,95,48,3,32
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,180,125,48,3,42
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,300,85,67,5,33
Mcdonalds,Hamburger,250,70,30,31,2,13
Mcdonalds,Lobster Roll,290,50,65,35,2,24
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,330,110,40,3,37
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,190,135,50,3,48
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,310,95,69,5,39
Mcdonalds,McChicken,350,130,40,40,2,15
Mcdonalds,McDouble,380,160,70,34,2,23
Mcdonalds,McRib,480,200,80,45,2,25
Mcdonalds,Pico Guacamole 1/4 lb Burger,580,300,95,41,4,29
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,160,115,50,4,40
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,280,80,69,6,31
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,200,60,64,4,28
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530,200,45,59,3,25
Mcdonalds,Quarter Pounder® with Cheese,530,240,100,41,3,31
Mcdonalds,Signature Sriracha Burger,670,320,95,56,4,32
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560,180,115,56,4,41
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730,300,80,75,5,32
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690,340,110,51,3,38
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630,200,135,61,4,48
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800,320,95,80,5,39
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,370,190,70,16,0,28
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,480,250,95,21,0,38
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,760,390,145,32,1,58
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,1210,630,240,52,1,94
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,1510,790,295,64,1,115
Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,2430,1270,475,103,2,186
Mcdonalds,4 Piece Chicken McNuggets,180,100,30,11,1,10
Mcdonalds,6 Piece Chicken McNuggets,270,140,45,16,1,15
Mcdonalds,10 Piece Chicken McNuggets,440,240,75,26,2,24
Mcdonalds,20 Piece Chicken McNuggets,890,480,145,53,4,49
Mcdonalds,40 piece Chicken McNuggets,1770,960,295,105,7,98
Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,640,240,105,63,2,39
Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960,360,160,94,3,58
Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600,600,265,156,5,97
Mcdonalds,Premium Asian Salad w/o Chicken,140,70,0,13,5,7
Mcdonalds,Premium Asian Salad w/ Grilled Chicken,270,80,80,18,5,31
Mcdonalds,Premium Asian Salad w/ Crispy Chicken,490,250,95,28,4,33
Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,190,110,40,9,3,14
Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,320,120,45,9,3,42
Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,490,250,95,28,4,33
Mcdonalds,Premium Southwest Salad w/o Chicken,220,90,15,26,6,8
Mcdonalds,Premium Southwest Salad w/ Grilled Chicken,350,100,110,27,6,37
Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,520,230,75,46,8,28
Chick Fil-A,Chargrilled Chicken Club Sandwich,430,144,85,37,3,37
Chick Fil-A,Chargrilled Chicken Sandwich,310,54,55,36,3,29
Chick Fil-A,Chick-n-Slider,270,99,45,26,1,16
Chick Fil-A,1 Piece Chick-n-Strips,120,54,25,6,0,11
Chick Fil-A,2 Piece Chick-n-Strips,230,108,55,13,1,22
Chick Fil-A,3 Piece Chick-n-Strips,350,153,70,22,1,28
Chick Fil-A,4 piece Chick-n-Strips,470,207,90,29,1,37
Chick Fil-A,Chicken Deluxe,500,207,75,42,3,31
Chick Fil-A,4 piece Chicken Nuggets,130,54,40,5,1,14
Chick Fil-A,6 piece Chicken Nuggets,190,81,55,7,1,21
Chick Fil-A,8 piece Chicken Nuggets,260,110,70,9,1,28
Chick Fil-A,12 piece Chicken Nuggets,390,162,115,14,2,41
Chick Fil-A,30 piece Chicken Nuggets,970,414,285,35,4,103
Chick Fil-A,Chicken Salad Sandwich,490,170,80,55,5,28
Chick Fil-A,Chicken Sandwich,440,171,60,40,2,28
Chick Fil-A,4 Piece Grilled Chicken Nuggets,70,18,35,1,0,13
Chick Fil-A,6 Piece Grilled Chicken Nuggets,110,27,50,2,0,19
Chick Fil-A,8 piece Grilled Chicken Nuggets,140,36,70,2,0,25
Chick Fil-A,12 Piece Grilled Chicken Nuggets,210,45,100,3,0,38
Chick Fil-A,Spicy Grilled Chicken Sub Sandwich,430,108,85,47,5,33
Chick Fil-A,Regular Grilled Chicken Sub Sandwich,450,117,75,48,4,34
Chick Fil-A,Smokehouse BBQ Bacon Sandwich,500,162,95,46,2,33
Chick Fil-A,Spicy Chicken Sandwich,450,171,60,41,1,29
Chick Fil-A,Spicy Deluxe,540,225,80,43,2,34
Chick Fil-A,Chargrilled Chicken Cool Wrap,350,126,60,29,15,37
Chick Fil-A,Chicken Enchiladas Meal Kit,860,423,100,70,NA,39
Chick Fil-A,Chicken Parmesan Meal Kit,720,279,120,65,NA,48
Sonic,Hatch Green Chile Cheeseburger,710,380,120,44,2,35
Sonic,Jalapeno Burger,640,330,100,42,2,31
Sonic,Jr. Burger,340,150,35,34,1,15
Sonic,Jr. Chili Cheeseburger,410,220,55,32,1,20
Sonic,Jr. Deluxe Burger,380,200,40,32,1,15
Sonic,Jr. Deluxe Cheeseburger,450,250,60,33,1,19
Sonic,Jr. Double Cheeseburger,600,350,110,35,1,31
Sonic,Sonic Bacon Cheeseburger (w/mayo),870,530,140,45,2,39
Sonic,Sonic Burger W/ Mustard,640,330,100,43,2,31
Sonic,Sonic Burger W/ Ketchup,650,340,100,46,2,32
Sonic,Sonic Burger W/ Mayonnaise,740,430,110,44,2,31
Sonic,Sonic Cheeseburger W/ Mustard,710,380,120,43,2,35
Sonic,Sonic Cheeseburger W/ Ketchup,720,380,120,47,2,35
Sonic,Sonic Cheeseburger W/ Mayonnaise,800,480,130,44,2,35
Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo),1280,830,260,44,2,67
Sonic,Super Sonic Double Cheeseburger W/ Mustard,1120,680,235,44,2,63
Sonic,Super Sonic Double Cheeseburger W/ Ketchup,1130,680,235,47,2,63
Sonic,Super Sonic Double Cheeseburger W/ Mayo,1220,780,245,45,2,63
Sonic,Super Sonic Jalapeno Double Cheeseburger,1120,680,235,43,2,63
Sonic,Veggie Burger W/ Ketchup,450,130,10,67,5,15
Sonic,Veggie Burger With Mustard,450,130,10,64,5,15
Sonic,Veggie Burger W/ Mustard,450,130,10,64,5,15
Sonic,Grilled Asiago Caesar Chicken Club Sandwich,610,270,110,44,3,40
Sonic,Crispy Asiago Caesar Chicken Club Sandwich,680,350,80,53,4,31
Sonic,Grilled Chicken Sandwich,430,180,80,33,2,28
Sonic,Crispy Chicken Sandwich,570,300,45,47,4,23
Sonic,Chicken Strip Sandwich,450,220,35,43,1,19
Sonic,3 Piece Crispy Chicken Tender Dinner,280,130,0,16,0,22
Sonic,5 Piece Crispy Chicken Tender Dinner,470,220,0,26,0,37
Sonic,Deluxe Ultimate Chicken Sandwich,740,350,90,63,4,33
Sonic,Buffalo Dunked Ultimate Chicken Sandwich,1000,550,125,70,5,23
Sonic,Garlic Parmesan Dunked Ultimate Chicken Sandwich,1350,900,190,69,4,23
Sonic,Small Jumbo Popcorn Chicken,380,190,45,27,3,18
Sonic,Large Jumbo Popcorn Chicken,560,290,65,41,5,27
Sonic,Small Spicy Jumbo Popcorn Chicken,350,150,45,30,2,21
